Licorice Pizza,2021,7.8
Verdens verste menneske,2021,7.9
I Want You Back,2022,6.7
The French Dispatch,2021,7.3
Pitch Perfect,2012,7.1
"Crazy, Stupid, Love.",2011,7.4
The Girl Next Door,2004,6.7
The Proposal,2009,6.7
La La Land,2016,8.0
Four Weddings and a Funeral,1994,7.1
Cashback,2006,7.1
Groundhog Day,1993,8.0
Love Actually,2003,7.6
Crazy Rich Asians,2018,6.9
10 Things I Hate About You,1999,7.3
Clueless,1995,6.9
Midnight in Paris,2011,7.7
Yesterday,2019,6.8
About Time,2013,7.8
Emma.,2020,6.7
La vita è bella,1997,8.6
Silver Linings Playbook,2012,7.7
Grease,1978,7.2
Aladdin,2019,6.9
The 40 Year Old Virgin,2005,7.1
My Girl,1991,6.9
Scott Pilgrim vs. the World,2010,7.5
Pretty Woman,1990,7.1
Palm Springs,2020,7.4
Moonrise Kingdom,2012,7.8
Forgetting Sarah Marshall,2008,7.1
Le fabuleux destin d'Amélie Poulain,2001,8.3
Secretary,2002,7.0
The Lobster,2015,7.2
The Ballad of Buster Scruggs,2018,7.3
Tangled,2010,7.7
Enchanted,2007,7.0
Bridesmaids,2011,6.8
Sixteen Candles,1984,7.0
Hercules,1997,7.3
Shrek,2001,7.9
(500) Days of Summer,2009,7.6
Love & Other Drugs,2010,6.7
Easy A,2010,7.0
Notting Hill,1999,7.1
Robin Hood: Men in Tights,1993,6.7
The Parent Trap,1998,6.6
The Wedding Singer,1998,6.9
Meet the Parents,2000,7.0
The Terminal,2004,7.4
Weird Science,1985,6.6
Punch-Drunk Love,2002,7.3
Mamma Mia! Here We Go Again,2018,6.6
Long Shot,2019,6.8
Knocked Up,2007,6.9
Steel Magnolias,1989,7.3
As Good as It Gets,1997,7.7
Inherent Vice,2014,6.7
"Love, Rosie",2014,7.2
Aladdin,1992,8.0
Hitch,2005,6.6
Hairspray,2007,6.7
Some Like It Hot,1959,8.2
Vicky Cristina Barcelona,2008,7.1
The Graduate,1967,8.0
Wedding Crashers,2005,6.9
There's Something About Mary,1998,7.1
Jerry Maguire,1996,7.3
50 First Dates,2004,6.8
The Life Aquatic with Steve Zissou,2004,7.3
Focus,2015,6.6
The Little Mermaid,1989,7.6
High Fidelity,2000,7.5
The Mask of Zorro,1998,6.8
Coming to America,1988,7.1
When Harry Met Sally...,1989,7.6
The Big Sick,2017,7.5
The Holiday,2006,6.9
The Secret Life of Walter Mitty,2013,7.3
Pretty in Pink,1986,6.8
Ich bin dein Mensch,2021,7.1
"I Love You, Man",2009,7.0
Chandigarh Kare Aashiqui,2021,6.9
Atrangi Re,2021,6.6
Bridget Jones's Diary,2001,6.7
Breakfast at Tiffany's,1961,7.6
Moonstruck,1987,7.1
Little Shop of Horrors,1986,7.1
The F Word,2013,6.8
Youth,2015,7.3
Shrek 2,2004,7.2
Empire Records,1995,6.7
Say Anything...,1989,7.3
Only Lovers Left Alive,2013,7.3
Overboard,1987,6.9
Risky Business,1983,6.8
Romancing the Stone,1984,6.9
Chung Hing sam lam,1994,8.1
Singin' in the Rain,1952,8.3
Sleepless in Seattle,1993,6.8
Summer School,1987,6.6
Planet Terror,2007,7.0
Roxanne,1987,6.6
Adventures in Babysitting,1987,6.9
Silver Streak,1976,6.9
Happiest Season,2020,6.6
Much Ado About Nothing,1993,7.3
Big,1988,7.3
Rushmore,1998,7.7
You've Got Mail,1998,6.7
But I'm a Cheerleader,1999,6.7
Waitress,2007,7.0
The Map of Tiny Perfect Things,2021,6.8
Warm Bodies,2013,6.8
"Love, Simon",2018,7.6
Drop Dead Gorgeous,1999,6.6
Sideways,2004,7.5
EverAfter,1998,7.1
My Big Fat Greek Wedding,2002,6.6
The Best Exotic Marigold Hotel,2011,7.3
Under the Tuscan Sun,2003,6.8
Bill & Ted's Excellent Adventure,1989,7.0
Charade,1963,7.9
Out of Sight,1998,7.0
It's Complicated,2009,6.6
Swiss Army Man,2016,7.0
Up in the Air,2009,7.4
Yes Man,2008,6.8
Around the World in 80 Days,1956,6.8
The Apartment,1960,8.3
Begin Again,2013,7.4
Elf,2003,7.0
Can't Buy Me Love,1987,6.8
Shakespeare in Love,1998,7.1
The Book of Life,2014,7.3
About a Boy,2002,7.1
Do lok tin si,1995,7.7
To All the Boys I've Loved Before,2018,7.1
Before We Go,2014,6.8
Paterson,2016,7.4
En man som heter Ove,2015,7.7
"Definitely, Maybe",2008,7.1
Something's Gotta Give,2003,6.7
While You Were Sleeping,1995,6.7
Wish Dragon,2021,7.2
Annie Hall,1977,8.0
Blast from the Past,1998,6.6
Átame!,1989,7.0
Working Girl,1988,6.8
P.S. I Love You,2007,7.0
Robin Hood,1973,7.6
Sing Street,2016,7.9
Wet Hot American Summer,2001,6.6
Garden State,2004,7.4
The Art of Racing in the Rain,2019,7.6
Adventureland,2009,6.8
Buffalo '66,1998,7.5
Always Be My Maybe,2019,6.8
Tootsie,1982,7.4
Beautiful Girls,1996,7.1
A Good Year,2006,7.0
A Goofy Movie,1995,6.9
