Spider-Man: No Way Home,2021,8.7
Uncharted,2022,6.8
Ghostbusters: Afterlife,2021,7.2
Dune: Part One,2021,8.1
Sing 2,2021,7.5
No Time to Die,2021,7.3
The Suicide Squad,2021,7.2
Free Guy,2021,7.2
Shang-Chi and the Legend of the Ten Rings,2021,7.5
Kingsman: The Secret Service,2014,7.7
Avengers: Endgame,2019,8.4
Interstellar,2014,8.6
Jurassic Park,1993,8.1
Harry Potter and the Sorcerer's Stone,2001,7.6
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
The Hunger Games: Catching Fire,2013,7.5
Spider-Man,2002,7.3
Spider-Man: Homecoming,2017,7.4
Kingsman: The Golden Circle,2017,6.7
Inglourious Basterds,2009,8.3
The Green Knight,2021,6.6
Black Widow,2021,6.7
Inception,2010,8.8
Avengers: Infinity War,2018,8.4
Cruella,2021,7.4
Raya and the Last Dragon,2021,7.3
Spider-Man: Far from Home,2019,7.4
Zack Snyder's Justice League,2021,8.1
Pushpa: The Rise - Part 1,2021,7.9
Star Wars,1977,8.6
Independence Day,1996,7.0
Avatar,2009,7.8
The Mitchells vs the Machines,2021,7.7
Luca,2021,7.5
Spider-Man: Into the Spider-Verse,2018,8.4
Jumanji: The Next Level,2019,6.7
Mad Max: Fury Road,2015,8.1
Black Panther,2018,7.3
The Amazing Spider-Man,2012,6.9
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0
Gladiator,2000,8.5
The Lord of the Rings: The Return of the King,2003,8.9
The Hunger Games,2012,7.2
Thor: Ragnarok,2017,7.9
Guardians of the Galaxy,2014,8.0
Venom,2018,6.7
Jurassic World,2015,7.0
Cool Runnings,1993,7.0
Jungle Cruise,2021,6.6
Harry Potter and the Goblet of Fire,2005,7.7
The Grand Budapest Hotel,2014,8.1
Captain Marvel,2019,6.8
Deadpool,2016,8.0
The Hobbit: An Unexpected Journey,2012,7.8
The Martian,2015,8.0
Planet of the Apes,1968,8.0
Moana,2016,7.6
Harry Potter and the Prisoner of Azkaban,2004,7.9
The Avengers,2012,8.0
Ryû to sobakasu no hime,2021,7.3
The Magnificent Seven,2016,6.9
The Amazing Spider-Man 2,2014,6.6
Cinderella,2015,6.9
Logan's Run,1976,6.8
Stand by Me,1986,8.1
Rogue One,2016,7.8
Batman,1989,7.5
Annihilation,2018,6.8
The Tomorrow War,2021,6.6
Finch,2021,6.9
Transformers,2007,7.0
Jaws,1975,8.0
Despicable Me,2010,7.6
Ready Player One,2018,7.4
Iron Man,2008,7.9
The Revenant,2015,8.0
Doctor Strange,2016,7.5
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
The Princess Bride,1987,8.1
The Goonies,1985,7.8
The Lord of the Rings: The Two Towers,2002,8.7
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Back to the Future,1985,8.5
Solo: A Star Wars Story,2018,6.9
Star Wars: Episode III - Revenge of the Sith,2005,7.5
Spider-Man 2,2004,7.4
Star Wars: Episode VII - The Force Awakens,2015,7.8
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
Lo imposible,2012,7.6
"Il buono, il brutto, il cattivo",1966,8.8
Frozen,2013,7.4
Mission: Impossible - Fallout,2018,7.7
