Death on the Nile,2022,6.6
Scream,2022,6.9
Jack Reacher,2012,7.0
Last Night in Soho,2021,7.1
Knives Out,2019,7.9
Midsommar,2019,7.1
Watchmen,2009,7.6
Scream,1996,7.3
Pig,2021,7.0
Prisoners,2013,8.1
The Invisible Man,2020,7.1
Death on the Nile,1978,7.3
Blade Runner 2049,2017,8.0
Promising Young Woman,2020,7.5
The Devil's Advocate,1997,7.5
The Lighthouse,2019,7.5
Gone Girl,2014,8.1
Wind River,2017,7.7
The Father,2020,8.3
Se7en,1995,8.6
The Prestige,2006,8.5
Shutter Island,2010,8.2
Harry Potter and the Goblet of Fire,2005,7.7
Jai Bhim,2021,9.3
Harry Potter and the Prisoner of Azkaban,2004,7.9
Get Out,2017,7.7
Apocalypse Now,1979,8.4
Donnie Darko,2001,8.0
Annihilation,2018,6.8
The Green Mile,1999,8.6
Hereditary,2018,7.3
The Usual Suspects,1995,8.5
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Memento,2000,8.4
The Girl with the Dragon Tattoo,2011,7.8
Sicario,2015,7.6
The Sixth Sense,1999,8.1
Harry Potter and the Deathly Hallows: Part 1,2010,7.7
Oldeuboi,2003,8.4
Stoker,2013,6.8
The Hateful Eight,2015,7.8
Coco,2017,8.4
Harry Potter and the Order of the Phoenix,2007,7.5
Sen to Chihiro no kamikakushi,2001,8.6
Basic Instinct,1992,7.0
Harry Potter and the Chamber of Secrets,2002,7.5
Eyes Wide Shut,1999,7.4
Harry Potter and the Half-Blood Prince,2009,7.6
Prometheus,2012,7.0
The Fugitive,1993,7.8
The VVitch: A New-England Folktale,2015,6.9
Zootopia,2016,8.0
Atonement,2007,7.8
Mulholland Dr.,2001,7.9
Us,2019,6.8
Enola Holmes,2020,6.6
The Killing of a Sacred Deer,2017,7.0
L.A. Confidential,1997,8.2
Ready or Not,2019,6.9
Suspiria,2018,6.8
Palm Springs,2020,7.4
Zodiac,2007,7.7
Divergent,2014,6.6
Mother!,2017,6.6
The Conjuring,2013,7.5
The Rescue,2021,8.4
Psycho,1960,8.5
Unbreakable,2000,7.3
The Ballad of Buster Scruggs,2018,7.3
Orphan,2009,7.0
Irréversible,2002,7.4
The Thing,1982,8.1
The Bourne Identity,2002,7.9
The Dry,2020,6.9
Incendies,2010,8.3
The Negotiator,1998,7.3
The Maze Runner,2014,6.8
Murder on the Orient Express,1974,7.3
Constantine,2005,7.0
Inside Man,2006,7.6
Salinui chueok,2003,8.1
Saw,2004,7.6
Hot Fuzz,2007,7.8
Sinister,2012,6.8
Contratiempo,2016,8.1
Sherlock Holmes,2009,7.6
The Lives of Others,2006,8.4
In the Heat of the Night,1967,7.9
Identity,2003,7.3
The Game,1997,7.7
Mystic River,2003,7.9
Run,2020,6.7
The Good Liar,2019,6.7
It Follows,2014,6.8
Cloud Atlas,2012,7.4
Twelve Monkeys,1995,8.0
National Treasure,2004,6.9
Now You See Me,2013,7.2
Chinatown,1974,8.2
Rear Window,1954,8.5
Let Me In,2010,7.1
The Bourne Ultimatum,2007,8.0
The Cabin in the Woods,2011,7.0
Citizen Kane,1941,8.3
Contact,1997,7.5
Bad Times at the El Royale,2018,7.1
A Simple Favor,2018,6.8
Inherent Vice,2014,6.7
The Bourne Supremacy,2004,7.7
Minority Report,2002,7.6
Enemy,2013,6.9
Soylent Green,1973,7.1
"I, Robot",2004,7.1
Sleepy Hollow,1999,7.3
Sicario: Day of the Soldado,2018,7.1
Blue Velvet,1986,7.7
Motherless Brooklyn,2019,6.8
Moon,2009,7.8
Gone Baby Gone,2007,7.6
Vertigo,1958,8.3
The Ninth Gate,1999,6.7
Signs,2002,6.7
Saint Maud,2019,6.7
Tinker Tailor Soldier Spy,2011,7.1
Source Code,2011,7.5
We Need to Talk About Kevin,2011,7.5
Vanilla Sky,2001,6.9
