Encanto,2021,7.3
Sing 2,2021,7.5
Flugt,2021,8.1
Sing,2016,7.1
Raya and the Last Dragon,2021,7.3
The Mitchells vs the Machines,2021,7.7
Luca,2021,7.5
Spider-Man: Into the Spider-Verse,2018,8.4
Moana,2016,7.6
Ryû to sobakasu no hime,2021,7.3
Despicable Me,2010,7.6
Frozen,2013,7.4
Ice Age,2002,7.5
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3
Ron's Gone Wrong,2021,7.1
Soul,2020,8.1
Coco,2017,8.4
Cars,2006,7.1
Sen to Chihiro no kamikakushi,2001,8.6
The Lion King,1994,8.5
Zootopia,2016,8.0
Toy Story,1995,8.3
The Lion King,2019,6.8
Despicable Me 2,2013,7.3
Ratatouille,2007,8.0
Kimi no na wa.,2016,8.4
Hauru no ugoku shiro,2004,8.2
Hotel Transylvania,2012,7.1
The Incredibles,2004,8.0
Inside Out,2015,8.1
Up,2009,8.2
Tangled,2010,7.7
Enchanted,2007,7.0
WALL·E,2008,8.4
Hercules,1997,7.3
Shrek,2001,7.9
Toy Story 4,2019,7.7
Finding Nemo,2003,8.1
Frozen II,2019,6.8
Fantastic Mr. Fox,2009,7.9
Mulan,1998,7.7
Kung Fu Panda,2008,7.6
"Monsters, Inc.",2001,8.1
Vivo,2021,6.7
How to Train Your Dragon,2010,8.1
Hotaru no haka,1988,8.5
Back to the Outback,2021,6.6
Aladdin,1992,8.0
Big Hero 6,2014,7.8
Toy Story 3,2010,8.2
Incredibles 2,2018,7.6
Onward,2020,7.4
A Bug's Life,1998,7.2
Beauty and the Beast,1991,8.0
Rango,2011,7.2
Mononoke-hime,1997,8.4
The Little Mermaid,1989,7.6
The Croods: A New Age,2020,7.0
Brave,2012,7.1
Coraline,2009,7.7
Isle of Dogs,2018,7.8
Atlantis: The Lost Empire,2001,6.9
Who Framed Roger Rabbit,1988,7.7
Madagascar,2005,6.9
9,2009,7.1
Toy Story 2,1999,7.9
Tarzan,1999,7.3
Wreck-It Ralph,2012,7.7
Shrek 2,2004,7.2
Ice Age: Dawn of the Dinosaurs,2009,6.9
Koe no katachi,2016,8.2
The Lego Movie,2014,7.7
Lilo & Stitch,2002,7.3
Ralph Breaks the Internet,2018,7.0
Tonari no Totoro,1988,8.2
Megamind,2010,7.3
Akira,1988,8.0
The Emperor's New Groove,2000,7.4
The Witcher: Nightmare of the Wolf,2021,7.3
The Prince of Egypt,1998,7.1
The Lego Batman Movie,2017,7.3
Ice Age: The Meltdown,2006,6.8
Rio,2011,6.9
Cars 3,2017,6.7
Pâfekuto burû,1997,8.0
Snow White and the Seven Dwarfs,1937,7.6
Treasure Planet,2002,7.2
Hotel Transylvania 2,2015,6.7
Monsters University,2013,7.2
The Jungle Book,1967,7.6
Finding Dory,2016,7.3
Over the Hedge,2006,6.7
How to Train Your Dragon: The Hidden World,2019,7.5
Rise of the Guardians,2012,7.3
Pocahontas,1995,6.7
The Book of Life,2014,7.3
The Nightmare Before Christmas,1993,8.0
The Adventures of Tintin,2011,7.3
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9
The Croods,2013,7.2
Wish Dragon,2021,7.2
Cloudy with a Chance of Meatballs,2009,6.9
Bolt,2008,6.8
The Hunchback of Notre Dame,1996,7.0
Ferdinand,2017,6.8
The Iron Giant,1999,8.0
Robin Hood,1973,7.6
The AristoCats,1970,7.1
My Little Pony: A New Generation,2021,6.9
Heavy Metal,1981,6.7
Home,2015,6.6
How to Train Your Dragon 2,2014,7.8
Klaus,2019,8.2
Chicken Run,2000,7.0
Tenki no ko,2019,7.5
Majo no takkyûbin,1989,7.9
A Goofy Movie,1995,6.9
Kaze no tani no Naushika,1984,8.1
Pinocchio,1940,7.4
Peter Pan,1953,7.3
One Hundred and One Dalmatians,1961,7.3
Kung Fu Panda 3,2016,7.1
