Nightmare Alley,2021,7.2
Scream,2022,6.9
The Last Duel,2021,7.4
Munich: The Edge of War,2021,6.9
No Time to Die,2021,7.3
The Tragedy of Macbeth,2021,7.3
Nobody,2021,7.4
Jack Reacher,2012,7.0
Last Night in Soho,2021,7.1
The Dark Knight,2008,9.0
Kingsman: The Secret Service,2014,7.7
Titane,2021,6.7
Jurassic Park,1993,8.1
Brothers,2009,7.1
The Hunger Games: Catching Fire,2013,7.5
Kingsman: The Golden Circle,2017,6.7
Gisaengchung,2019,8.6
Knives Out,2019,7.9
Midsommar,2019,7.1
Joker,2019,8.4
Inception,2010,8.8
Pig,2021,7.0
Prisoners,2013,8.1
Tenet,2020,7.4
Wrath of Man,2021,7.1
The Invisible Man,2020,7.1
Mahaan,2022,8.1
Pushpa: The Rise - Part 1,2021,7.9
Blade Runner 2049,2017,8.0
Promising Young Woman,2020,7.5
The Devil's Advocate,1997,7.5
Gone Girl,2014,8.1
Wind River,2017,7.7
13 Hours,2016,7.3
Mad Max: Fury Road,2015,8.1
Léon,1994,8.5
Baby Driver,2017,7.6
Se7en,1995,8.6
The Silence of the Lambs,1991,8.6
The Devil All the Time,2020,7.1
The Prestige,2006,8.5
The Hunger Games,2012,7.2
Shutter Island,2010,8.2
Uncut Gems,2019,7.4
Boiling Point,2021,7.6
The Departed,2006,8.5
Get Out,2017,7.7
No Country for Old Men,2007,8.1
Busanhaeng,2016,7.6
Blade Runner,1982,8.1
Hell or High Water,2016,7.6
Donnie Darko,2001,8.0
Annihilation,2018,6.8
Hereditary,2018,7.3
The Tomorrow War,2021,6.6
A Time to Kill,1996,7.5
Jaws,1975,8.0
A Quiet Place Part II,2020,7.3
Dunkirk,2017,7.8
The Usual Suspects,1995,8.5
Memento,2000,8.4
Ex Machina,2014,7.7
Black Swan,2010,8.0
The Girl with the Dragon Tattoo,2011,7.8
The Imitation Game,2014,8.0
Logan,2017,8.1
Lo imposible,2012,7.6
Sicario,2015,7.6
La piel que habito,2011,7.6
The Town,2010,7.5
Mission: Impossible - Fallout,2018,7.7
The Sixth Sense,1999,8.1
John Wick,2014,7.4
The Foreigner,2017,7.0
Ambulance,2022,9.3
Oldeuboi,2003,8.4
The Courier,2020,7.2
Stoker,2013,6.8
Fresh,2022,7.1
The Book of Eli,2010,6.9
The Hateful Eight,2015,7.8
The Equalizer,2014,7.2
Aliens,1986,8.3
Casino Royale,2006,8.0
Predestination,2014,7.5
Good Time,2017,7.4
The Rock,1996,7.4
Idi i smotri,1985,8.3
Basic Instinct,1992,7.0
Blood Diamond,2006,8.0
Eyes Wide Shut,1999,7.4
Reservoir Dogs,1992,8.3
The Fugitive,1993,7.8
The Mauritanian,2021,7.5
The Turning Point,1952,6.8
Fargo,1996,8.1
Spectre,2015,6.8
True Romance,1993,7.9
Nocturnal Animals,2016,7.5
Stillwater,2021,6.6
Die Hard,1988,8.2
Monster,2003,7.3
Passengers,2016,7.0
Legend,2015,6.9
Den of Thieves,2018,7.0
Star Trek Beyond,2016,7.0
Doctor Sleep,2019,7.3
Con Air,1997,6.9
Split,2016,7.3
Skyfall,2012,7.8
Mulholland Dr.,2001,7.9
Room,2015,8.1
Us,2019,6.8
The Nice Guys,2016,7.4
Serenity,2005,7.8
Point Break,1991,7.3
Captain America: The Winter Soldier,2014,7.7
Apocalypto,2006,7.8
The Killing of a Sacred Deer,2017,7.0
Kill Bill: Vol. 1,2003,8.1
L.A. Confidential,1997,8.2
Ah-ga-ssi,2016,8.1
In Time,2011,6.7
The A-Team,2010,6.7
Starship Troopers,1997,7.2
Sin City,2005,8.0
Ready or Not,2019,6.9
Road to Perdition,2002,7.7
Carlito's Way,1993,7.9
Operation Finale,2018,6.6
Nightcrawler,2014,7.8
The Island,2005,6.8
I'm Thinking of Ending Things,2020,6.6
The Butterfly Effect,2004,7.6
Alita: Battle Angel,2019,7.3
The Warriors,1979,7.6
Collateral,2004,7.5
Margin Call,2011,7.1
Suspiria,2018,6.8
Zodiac,2007,7.7
Red Sparrow,2018,6.6
The Conjuring,2013,7.5
Looper,2012,7.4
Law Abiding Citizen,2009,7.4
The Rescue,2021,8.4
The Hitman's Bodyguard,2017,6.9
Unfaithful,2002,6.7
The Fast and the Furious,2001,6.8
The Lobster,2015,7.2
I Am Legend,2007,7.2
Idiocracy,2006,6.6
Death Proof,2007,7.0
Psycho,1960,8.5
Ocean's Eleven,2001,7.7
The Italian Job,2003,7.0
Mission: Impossible,1996,7.1
Unbreakable,2000,7.3
Orphan,2009,7.0
Irréversible,2002,7.4
RoboCop,1987,7.6
28 Days Later...,2002,7.6
X-Men: Days of Future Past,2014,7.9
Everest,2015,7.1
Anna,2019,6.7
The Lovely Bones,2009,6.7
Extraction,2020,6.7
V for Vendetta,2005,8.1
The Bourne Identity,2002,7.9
Dr. No,1962,7.2
Sleepers,1996,7.6
The Dry,2020,6.9
Zero Dark Thirty,2012,7.4
Black Rain,1989,6.7
Bullitt,1968,7.4
Man on Fire,2004,7.7
The Negotiator,1998,7.3
Training Day,2001,7.7
John Wick: Chapter 3 - Parabellum,2019,7.4
Mission: Impossible - Rogue Nation,2015,7.4
For Your Eyes Only,1981,6.7
The Maze Runner,2014,6.8
The Old Guard,2020,6.7
Jason Bourne,2016,6.6
Quantum of Solace,2008,6.6
Never Let Me Go,2010,7.1
Armageddon,1998,6.7
El Camino: A Breaking Bad Movie,2019,7.3
The Trial of the Chicago 7,2020,7.8
Don't Breathe,2016,7.1
El hoyo,2019,7.0
Inside Man,2006,7.6
Deja Vu,2006,7.1
Taken,2008,7.8
Children of Men,2006,7.9
Salinui chueok,2003,8.1
Glass,2019,6.6
First Blood,1982,7.7
Argo,2012,7.7
