Scream,2022,6.9
Last Night in Soho,2021,7.1
Titane,2021,6.7
Midsommar,2019,7.1
Scream,1996,7.3
The Invisible Man,2020,7.1
The Lighthouse,2019,7.5
American Psycho,2000,7.6
Get Out,2017,7.7
Busanhaeng,2016,7.6
Annihilation,2018,6.8
Hereditary,2018,7.3
Alien,1979,8.4
The Black Phone,2021,7.6
A Quiet Place Part II,2020,7.3
The Shining,1980,8.4
La piel que habito,2011,7.6
The Exorcist,1973,8.0
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3
Fresh,2022,7.1
A Quiet Place,2018,7.5
The Texas Chain Saw Massacre,1974,7.5
The VVitch: A New-England Folktale,2015,6.9
From Dusk Till Dawn,1996,7.2
It,2017,7.3
World War Z,2013,7.0
Doctor Sleep,2019,7.3
Split,2016,7.3
The Lost Boys,1987,7.3
Us,2019,6.8
The Killing of a Sacred Deer,2017,7.0
Ready or Not,2019,6.9
Interview with the Vampire: The Vampire Chronicles,1994,7.5
Dracula,1992,7.4
Suspiria,2018,6.8
Mother!,2017,6.6
The Rocky Horror Picture Show,1975,7.4
The Conjuring,2013,7.5
Hotel Transylvania,2012,7.1
Psycho,1960,8.5
Orphan,2009,7.0
28 Days Later...,2002,7.6
The Thing,1982,8.1
Blade,1998,7.1
Bird Box,2018,6.6
Predator,1987,7.8
Constantine,2005,7.0
Don't Breathe,2016,7.1
El hoyo,2019,7.0
Saw,2004,7.6
Resident Evil,2002,6.7
Sinister,2012,6.8
Event Horizon,1997,6.7
Shaun of the Dead,2004,7.9
What We Do in the Shadows,2014,7.7
It Follows,2014,6.8
The House That Jack Built,2018,6.8
Grave,2016,7.0
Let Me In,2010,7.1
The Cabin in the Woods,2011,7.0
A Nightmare on Elm Street,1984,7.5
Antichrist,2009,6.6
Martyrs,2008,7.1
Halloween,1978,7.7
The Evil Dead,1981,7.5
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3
Zombieland,2009,7.6
Life,2017,6.6
Climax,2018,7.0
I onde dager,2021,6.9
Cloverfield,2008,7.0
Final Destination,2000,6.7
Sleepy Hollow,1999,7.3
The Mist,2007,7.1
An American Werewolf in London,1981,7.5
Pitch Black,2000,7.1
Blade II,2002,6.7
Hellraiser,1987,7.0
They Live,1988,7.3
Saint Maud,2019,6.7
Zombieland: Double Tap,2019,6.7
Rosemary's Baby,1968,8.0
Ang-ma-reul bo-at-da,2010,7.8
The Descent,2005,7.2
Dawn of the Dead,2004,7.3
Insidious,2010,6.8
Gremlins,1984,7.3
1408,2007,6.8
The Ring,2002,7.1
Little Shop of Horrors,1986,7.1
10 Cloverfield Lane,2016,7.2
Låt den rätte komma in,2008,7.9
Poltergeist,1982,7.3
The Birds,1963,7.7
Planet Terror,2007,7.0
Le pacte des loups,2001,7.0
Carrie,1976,7.4
Hocus Pocus,1993,6.9
Hush,2016,6.6
The Conjuring 2,2016,7.3
28 Weeks Later,2007,6.9
The Babadook,2014,6.8
Halloween,2018,6.6
The Others,2001,7.6
Candyman,1992,6.7
Warm Bodies,2013,6.8
Death Becomes Her,1992,6.6
Hotel Transylvania 2,2015,6.7
You're Next,2011,6.6
Grindhouse,2007,7.5
Eden Lake,2008,6.8
What Lies Beneath,2000,6.6
The Final Girls,2015,6.6
Eraserhead,1977,7.4
Suspiria,1977,7.4
I See You,2019,6.8
The Frighteners,1996,7.1
Green Room,2015,7.0
Invasion of the Body Snatchers,1978,7.4
Evil Dead II,1987,7.7
Army of Darkness,1992,7.5
Jacob's Ladder,1990,7.5
The Brood,1979,6.8
Fear Street: 1978,2021,6.7
Kol,2020,7.1
You Won't Be Alone,2022,6.8
Happy Death Day,2017,6.6
The Autopsy of Jane Doe,2016,6.8
Overlord,2018,6.6
Pet Sematary,1989,6.6
The Exorcism of Emily Rose,2005,6.7
Pandorum,2009,6.7
Night of the Living Dead,1968,7.9
Angel Heart,1987,7.3
El espinazo del diablo,2001,7.4
The Wicker Man,1973,7.5
The Devil's Rejects,2005,6.8
Child's Play,1988,6.6
Return to Oz,1985,6.7
Fright Night,1985,7.1
30 Days of Night,2007,6.6
Cube,1997,7.2
Gwoemul,2006,7.1
The Return of the Living Dead,1985,7.3
Bhoothakaalam,2022,7.9
Twin Peaks: Fire Walk with Me,1992,7.3
Braindead,1992,7.5
Cronos,1993,6.7
Ôdishon,1999,7.2
The Howling,1981,6.6
What Ever Happened to Baby Jane?,1962,8.1
The Witches,1990,6.9
Christine,1983,6.7
Near Dark,1987,7.0
The Blob,1988,6.6
Dawn of the Dead,1978,7.9
[Rec],2007,7.4
In the Mouth of Madness,1994,7.2
The Fog,1980,6.8
Saw II,2005,6.6
El orfanato,2007,7.4
"Batman: The Long Halloween, Part One",2021,7.3
Tucker and Dale vs Evil,2010,7.5
Videodrome,1983,7.2
Scanners,1981,6.8
Lords of Chaos,2018,6.6
The Call,2013,6.7
The Gift,2000,6.7
The Witches of Eastwick,1987,6.6
Day of the Dead,1985,7.1
A Nightmare on Elm Street 3: Dream Warriors,1987,6.6
The Omen,1976,7.5
Fear Street: 1666,2021,6.6
Tumbbad,2018,8.3
Pi,1998,7.4
From Hell,2001,6.8
Haute tension,2003,6.8
An American Crime,2007,7.3
The Girl with All the Gifts,2016,6.6
Don't Look Now,1973,7.2
Frankenstein,1931,7.8
Dead Ringers,1988,7.3
À l'intérieur,2007,6.7
Insidious: Chapter 2,2013,6.6
Phenomena,1985,6.8
Re-Animator,1985,7.2
Society,1989,6.6
"Ich seh, Ich seh",2014,6.7
Ginger Snaps,2000,6.8
Dead Calm,1989,6.8
Tales from the Crypt: Demon Knight,1995,6.7
Bloody Hell,2020,6.6
Marrowbone,2017,6.7
eXistenZ,1999,6.8
Eliza Graves,2014,6.8
Trick 'r Treat,2007,6.8
Stir of Echoes,1999,7.0
The Dead Zone,1983,7.2
From Beyond,1986,6.7
Black Christmas,1974,7.2
Ringu,1998,7.2
Hausu,1977,7.4
The Loved Ones,2009,6.6
Creepshow,1982,6.9
Henry: Portrait of a Serial Killer,1986,7.0
Bakjwi,2009,7.1
Shin Gojira,2016,6.8
"Batman: The Long Halloween, Part Two",2021,7.2
The Changeling,1980,7.2
Ravenous,1999,7.0
"Janghwa, Hongryeon",2003,7.2
Phantasm,1979,6.7
Flatliners,1990,6.6
Dog Soldiers,2002,6.8
Koroshiya 1,2001,7.0
May,2002,6.6
Zombivli,2022,8.7
The Thing from Another World,1951,7.1
Zombi 2,1979,6.8
Trolljegeren,2010,7.0
Dèmoni,1985,6.7
Night of the Creeps,1986,6.8
Gojira,1954,7.6
Shadow of the Vampire,2000,6.9
The Fly,1958,7.1
Kairo,2001,6.6
The Innocents,1961,7.8
Frankenweenie,2012,6.9
Dellamorte Dellamore,1994,7.1
Santa Sangre,1989,7.6
Inferno,1980,6.6
Tetsuo,1989,7.0
Chhorii,2021,6.9
Repo! The Genetic Opera,2008,6.6
The Haunting,1963,7.5
Tenebre,1982,7.1
Them!,1954,7.2
Bubba Ho-Tep,2002,7.0
Night of the Living Dead,1990,6.9
House of Wax,1953,7.1
"If I Can't Have Love, I Want Power",2021,6.7
Angst,1983,7.3
The Abominable Dr. Phibes,1971,7.1
Under the Shadow,2016,6.9
The Company of Wolves,1984,6.7
La llorona,2019,6.6
Magic,1978,6.8
Dracula,1958,7.3
Ju-on,2002,6.7
Yôjû toshi,1987,6.8
Bhoot Police,2021,7.1
Død snø 2,2014,6.9
The Masque of the Red Death,1964,7.0
Opera,1987,7.0
Tesis,1996,7.4
Vampire Hunter D: Bloodlust,2000,7.7
The Mummy,1959,6.7
Lady in White,1988,6.7
Batman: Gotham by Gaslight,2018,6.7
Constantine: City of Demons,2018,7.4
El día de la bestia,1995,7.4
Fido,2006,6.7
Jisatsu sâkuru,2001,6.6
Village of the Damned,1960,7.3
Bijitâ Q,2001,6.6
Behind the Mask: The Rise of Leslie Vernon,2006,6.7
Deliria,1987,6.7
The Reflecting Skin,1990,6.8
Stree,2018,7.6
Honogurai mizu no soko kara,2002,6.7
The Hound of the Baskervilles,1959,7.0
Notre-Dame de Paris,1956,6.7
The Incredible Shrinking Man,1957,7.6
Rare Exports,2010,6.7
Bhool Bhulaiyaa,2007,7.4
